Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
17,1644856030885,14/02/2022 16:27:10,1644856028620,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,1-quantised,5
18,1644856030885,14/02/2022 16:27:10,1644856028620,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,2-quantised,5
19,1644856030885,14/02/2022 16:27:10,1644856028620,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,3-quantised,5
20,1644856030885,14/02/2022 16:27:10,1644856028620,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,4-quantised,5
21,1644856030885,14/02/2022 16:27:10,1644856028620,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,5-quantised,5
22,1644856030885,14/02/2022 16:27:10,1644856028620,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,6-quantised,3
23,1644856030963,14/02/2022 16:27:10,1644856028620,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,7-quantised,3
24,1644856030963,14/02/2022 16:27:10,1644856028620,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,8-quantised,6
25,1644856030963,14/02/2022 16:27:10,1644856028620,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,9-quantised,5
26,1644856030963,14/02/2022 16:27:10,1644856028620,1,14/02/2022 17:27:08,73265,15,questionnaire-37ue,,19434304,BLIND,5767766,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 15.1,1440x900,1440x900,Part 1 completed,VAS-f-2,2,Part 1 completed,,Accuracy_level_1,No,10-quantised,5
