Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
17,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,1-quantised,5
18,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,2-quantised,4
19,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,3-quantised,3
20,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,4-quantised,4
21,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,5-quantised,3
22,1644934742637,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,6-quantised,3
23,1644934742719,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,7-quantised,3
24,1644934742719,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,8-quantised,4
25,1644934742719,15/02/2022 14:19:02,1644934742128,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,9-quantised,4
26,1644934742719,15/02/2022 14:19:02,1644934742129,1,15/02/2022 15:19:02,73265,15,questionnaire-ty7a,,19461250,BLIND,5767622,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Windows 10,Firefox 97.0,1280x720,1263x635,Part 1 completed,VAS-f-2,2,,Part 1 completed,Accuracy_level_0.55,No,10-quantised,6
