Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,checkpoint-yiku,checkpoint-gn26,randomiser-2vg5,Randomise questionnaire elements?,Question Key,Response
1,1644954691228,15/02/2022 19:51:31,1644954691127,1,15/02/2022 20:51:31,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1440x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,BEGIN QUESTIONNAIRE,
2,1644954862704,15/02/2022 19:54:22,1644954861726,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,0,6
3,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,1,5
4,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,2,4
5,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,3,5
6,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,4,5
7,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,5,4
8,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,6,0
9,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,7,1
10,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,8,3
11,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,9,2
12,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,10,6
13,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,11,2
14,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,12,6
15,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,13,7
16,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,0-quantised,7
17,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,1-quantised,6
18,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,2-quantised,5
19,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,3-quantised,6
20,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,4-quantised,6
21,1644954862828,15/02/2022 19:54:22,1644954861729,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,5-quantised,5
22,1644954862828,15/02/2022 19:54:22,1644954861730,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,6-quantised,1
23,1644954863000,15/02/2022 19:54:23,1644954861730,1,15/02/2022 20:54:21,73265,15,questionnaire-w32a,,19475775,BLIND,5768964,Intro Experiment: General explanations,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.2,1440x900,1425x848,Part 1 completed,VAS-f-1,2,Part 1 completed,,Accuracy_level_1,No,7-quantised,2
